date,temp_avg,precipitation,is_workday,average_traffic_index
2023-04-14,15.2,0.0,1.0,32.58510638297872
2023-04-15,16.5,0.0,0.0,29.083333333333332
2023-04-16,15.5,0.3,0.0,16.296819787985864
2023-04-17,14.5,0.6,1.0,31.282229965156795
2023-04-18,13.1,0.7,1.0,32.98943661971831
2023-04-19,12.2,3.1,1.0,30.10839160839161
2023-04-20,12.1,0.3,0.0,19.25448028673835
2023-04-21,12.6,0.8,0.0,33.51398601398601
2023-04-22,13.5,0.0,0.0,36.75087719298246
2023-04-23,11.9,0.0,0.0,41.47
2023-04-24,12.2,0.0,1.0,22.83695652173913
2023-04-25,15.0,0.1,1.0,43.48087431693989
2023-04-26,14.3,17.7,1.0,35.08833922261484
2023-04-27,11.0,18.9,1.0,40.01748251748252
2023-04-28,10.7,0.0,1.0,37.78745644599303
2023-04-29,10.8,0.1,0.0,35.90909090909091
2023-04-30,12.4,0.0,0.0,29.346153846153847
2023-05-01,14.1,0.0,0.0,21.631944444444443
2023-05-02,14.9,0.0,1.0,35.3006993006993
2023-05-03,15.7,0.0,1.0,34.96885813148789
2023-05-04,15.0,6.4,1.0,36.463667820069205
2023-05-05,13.0,1.9,1.0,33.64664310954063
2023-05-06,13.0,19.5,0.0,33.41696113074205
2023-05-07,14.2,0.0,0.0,42.37762237762238
2023-05-08,13.9,0.0,1.0,32.90344827586207
2023-05-09,12.8,0.5,1.0,33.167247386759584
2023-05-10,12.3,0.7,1.0,31.828070175438597
2023-05-11,12.4,0.0,1.0,33.318996415770606
2023-05-12,12.5,0.4,1.0,44.28042328042328
2023-05-13,13.4,0.0,0.0,28.498257839721255
2023-05-14,14.2,0.2,0.0,4.651567944250871
2023-05-15,17.5,0.0,1.0,22.87676056338028
2023-05-16,19.1,0.0,1.0,32.39930555555556
2023-05-17,15.8,7.5,1.0,37.21328671328671
2023-05-18,14.6,7.6,1.0,58.1875
2023-05-19,15.1,1.3,0.0,20.32280701754386
2023-05-20,15.2,1.9,0.0,24.711805555555557
2023-05-21,16.1,0.1,0.0,24.003496503496503
2023-05-22,16.4,0.0,1.0,28.9198606271777
2023-05-23,16.3,2.1,1.0,31.03125
2023-05-24,16.3,1.4,1.0,32.50526315789474
2023-05-25,17.5,0.7,1.0,33.385416666666664
2023-05-26,17.8,2.3,1.0,34.2791519434629
2023-05-27,17.8,0.0,0.0,32.69337979094077
2023-05-28,17.7,1.4,0.0,14.788194444444445
2023-05-29,18.4,0.6,1.0,29.662020905923345
2023-05-30,19.0,2.2,1.0,33.91428571428571
2023-05-31,19.4,9.8,1.0,33.63066202090592
2023-06-01,19.1,0.0,1.0,36.14909090909091
2023-06-02,19.9,0.0,1.0,47.78756476683938
2023-06-03,19.4,2.9,0.0,40.36220472440945
2023-06-04,18.9,6.1,0.0,25.703557312252965
2023-06-05,18.6,0.0,1.0,33.8875
2023-06-06,19.2,0.0,1.0,36.01423487544484
2023-06-07,19.1,0.0,1.0,36.73384030418251
2023-06-08,19.4,0.0,1.0,37.31707317073171
2023-06-09,19.6,0.1,1.0,37.55871886120996
2023-06-10,19.4,0.0,0.0,35.65964912280702
2023-06-11,20.5,0.0,0.0,24.034934497816593
2023-06-12,19.5,1.4,1.0,33.03472222222222
2023-06-13,19.5,0.0,1.0,34.597122302158276
2023-06-14,20.0,1.5,1.0,35.93992932862191
2023-06-15,21.1,0.0,1.0,37.73076923076923
